jmeno,mesto,web,dostupnost,cilova_skupina,forma,styl_terapie
"Dospělová, Paula",Praha,www.paulabiedkova.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Kognitivně-behaviorální terapie
"Hylmarová, Dita",Jičín,www.terapiepodhorami.cz,Info o dostupnosti na vyžádání,"On-line, Osobně, Telefonicky",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kocourek, Stanislav",Olomouc,www.psychoterapie-olomouc.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Integrativní a eklektické pojetí
"Tučeková, Ivona",Brno,https://app.terapie.cz/profile/2425-Ivona-Tucekova,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Kratochvíla, Jan",Hradec Králové,www.psycholog-hradecko.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kasalová, Vanda",Karlovy Vary- Rybáře,http://vandakasalova.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Hejcmanová, Kateřina",Praha,,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Štepanovič, Boris",Praha 1,www.borisstepanovic.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Lichnovská, Marie",Ostrava - Moravská Ostrava,neuvedeno,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Lesáková, Andrea",Praha,www.terapielesakova.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně",Kognitivně-behaviorální terapie
"Jančová, Václava",Praha 5,https://www.psychoterapie-andel.cz/psycholog/mgr-vaclava-jancova-mobil-776-259-799/,Nepřijímám nové klienty,neuvedeno,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Grusha, Tetiana",,,,,,
"Šramota, Miroslav Jan",Hořovičky,prodeseco.cz,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Systémové, systemické a komunikační pojetí"
"Bojko, Michaela",Ostrava – Mariánské Hory a Hulváky,neuvedeno,Info o dostupnosti na vyžádání,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně",Integrativní a eklektické pojetí
"Petrová, Kateřina",České Budějovice,www.psychoterap.cz,Nepřijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Kolitsch, Karel",Praha 7,www.karelkolitsch.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, neuvedeno","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Kirchnerová, Marie",Brno,www.kirchnerovamarie.cz,Přijímám nové klienty,Dospělí 18-69,Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Milićová, Monika",Praha 1,www.psychoterapiehb.cz,Přijímám nové klienty,Dospělí 18-69,Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Trávníček, Kateřina",Ostrava,katerinatravnicek.cz,Nepřijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Vozka, Pavel",Olomouc,https://www.pavelvozka.cz/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Pospíšilová, Hana",Brno Bosonohy,www.terapiepospisilova.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Rybka, Jarmila",Praha 1,www.zmysli.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Lukášová, Iveta",Praha 1,www.ivetalukasova.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let), neuvedeno","On-line, Osobně",Psychoterapie zaměřená na tělo
"Cvečková, Veronika",Praha 8,www.veronikacveckova.eu,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Pohořská, Alice",Praha 6,www.alicepohorska.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Mikošková, Iveta",Brno,https://app.terapie.cz/profile/1102-Iveta-Mikoskova,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Louženský, Jaromír",Praha,https://www.terapielouzensky.cz/,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Pilařová, Irena",Praha 3 Žižkov,www.synergea.cz,Přijímám nové klienty,"On-line, Osobně",,Integrativní a eklektické pojetí
"Walnerová, Saša",Praha 2,Neuvedeno,Info o dostupnosti na vyžádání,"Dospělí 18-69, neuvedeno","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Benešová Partlová, Ivana",Praha 6,https://www.anaviterap.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Mohyla, Richard",Ostrava,www.etopedicka-poradna.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Kopřivová, Šárka",Ostrava,www.osu.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,Osobně,Integrativní a eklektické pojetí
"Nováková, Kristýna",Olomouc,"https://zavislostiolomouc.cz/, https://vmezicase.cz/",Přijímám nové klienty,,,"Systémové, systemické a komunikační pojetí"
"Vacková, Lenka",Olomouc,http://www.logo-psycho.cz/,Info o dostupnosti na vyžádání,"On-line, Osobně",,Kognitivně-behaviorální terapie
"Zapletalová, Pavlína",Brno,https://app.terapie.cz/profile/607-Pavlina-Zapletalova,Nepřijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Integrativní a eklektické pojetí
"Taisumova, Anastasia",Praha,https://www.anastasiataisumova.com,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Mottlová, Michaela",České Budějovice,www.terapiemimomars.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Rudolfová, Klára",Říčany,www.terapie-koucink.cz,Přijímám nové klienty,"On-line, Osobně, Telefonicky",,"Systémové, systemické a komunikační pojetí"
"Králová, Josefína",Brno,www.terapiekralova.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Čechová, Vlasta",Praha 2,www.psycholog-cechova.com,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně",Integrativní a eklektické pojetí
"Ouředníková, Lucie",Brandýs nad Labem - Stará Boleslav,www.zmenamispolecne.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Racková, Michaela",Hradec Králové,Neuvedeno,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Guillemin Weiglová, Monika","Čápkova 34, Brno",monikaweiglova.com ; thecompassionateawareness.com,Přijímám nové klienty,Dospělí 18-69,On-line,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Mařík, Michaela",České Budějovice,www.michaelamarik.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let), neuvedeno","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Jeníčková Musilová, Lenka",Praha 1,https://app.terapie.cz/profile/2702-Mgr.-Lenka-Jenickova?_gl=1*eyjqkl*_gcl_au*ODk5MjkwNjMyLjE3Njk1MDkwNjQuMTY3NjIxOTc4NC4xNzc2Mjc5NDA4LjE3NzYyNzk0MDg.*_ga*MTI2MzI3NTk2Mi4xNzUzNzY5Mzcw*_ga_93M9PEVZ4K*czE3NzYyNzk0MDckbzEzOCRnMSR0MTc3NjI4MDM3MSRqNjAkbDA,Přijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kuldová, Kateřina",Brno,neuvedeno,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Pšenicová, Barbora",Praha 1,www.psenicova.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Charvát, Ondřej",Brno,https://www.therapies.cz/ing-ondrej-charvat/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně",Psychoterapie zaměřená na tělo
"Medeiros, Marek",Praha 1,www.marekmedeiros.com,Přijímám nové klienty,Dospělí 18-69,Osobně,Integrativní a eklektické pojetí
"Raszka, Michal",Frýdek-Místek,www.michalraszka.cz,Nepřijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Černá, Martina",Jihlava,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","Možnost terapie venku, On-line, Telefonicky",Jiný
"Choudhary Palajová, Kateřina",Praha 6,www.kbt-terapie.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky",Kognitivně-behaviorální terapie
"Havránková, Tereza",Praha,www.terapienablizko.cz,Přijímám nové klienty,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Doubková, Dagmar",Praha 6 - Hradčanská,www.psycholog-praha.eu,Info o dostupnosti na vyžádání,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Zahradníková, Tereza",Pelhřimov,www.terapiepelhrimov.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Slavíčková, Eva",Řevnice,neuvedeno,Info o dostupnosti na vyžádání,neuvedeno,"On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Vinklerová, Eliška",Brno,psychoterapie.putnova.com,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Rojíková, Zuzana",Praha 1,koucink-psychoterapie.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Jobánek, Jiří",Kuřim,neuvedeno,Info o dostupnosti na vyžádání,Dospělí 18-69,Osobně,Integrativní a eklektické pojetí
"Brázda, Jan",Praha 1,www.poradnapsychoterapie.cz,Přijímám nové klienty,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Němec, Jiří",Praha 6 Dejvice,http://www.terapienemec.cz,Přijímám nové klienty,Dospělí 18-69,Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Chmelíková, Michaela",Ústí nad Labem,neuvedeno,Nepřijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Halama, Martin",Liberec,https://martinhalama.cz/,Nepřijímám nové klienty,Dospělí 18-69,Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Kleinová, Adina",Brno,neuvedeno,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Kahancová, Mária",Brno,neuvedeno,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Rudnická, Růžena",Praha 4,www.teracentrum.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Galusová, Veronika",Hradec Králové,www.veronikagalusova.cz,Nepřijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Pažourek, Kateřina",Praha 6,https://www.katerinapazourek.cz,Nepřijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Porubová, Radka",České Budějovice,www.porubova-psycholog.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Nováková, Adriana",Praha 7,www.teradi.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Krofta, Jan",Praha 1,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Procházková, Petra",Ostrava Poruba,-,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Miškóci, Lucie",Uherský Brod,www.nadechnise.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Kognitivně-behaviorální terapie
"Hrabě, Pavel",České Budějovice,www.psychoterapeuticb.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospělí: 70+","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Fedošová, Jana",Praha 10,www.iam.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Hoke, Jana",Brno,www.poradenstvi-brno.cz,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Lojdová, Kateřina",Praha 5,,Přijímám nové klienty,"On-line, Telefonicky",,"Systémové, systemické a komunikační pojetí"
"Šlapalová, Iveta",Říčany,www.ivetaslapalova.cz,Přijímám nové klienty,"On-line, Osobně",,"Systémové, systemické a komunikační pojetí"
"Antlová, Zuzana",on-line z bydliště,ne,Nepřijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let), neuvedeno","Možnost terapie venku, On-line",Jiný
"Zichová, Lucie",Plzeň,https://luciezichova.cz,Přijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Michl Egriová, Simona",Plzeň 2-Slovany,https://www.krizolozka.cz/,Info o dostupnosti na vyžádání,Dospělí 18-69,Osobně,Kognitivně-behaviorální terapie
"Háša, Stanislav",Praha 3,www.popoli.cz,Přijímám nové klienty,"On-line, Osobně",,Psychoterapie zaměřená na tělo
"Kliszová, Viera",Praha,www.psychologicke-poradenstvi.com,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Čemová, Lucia",Brno,www.luciacemova.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Müllerová, Jana",Praha 5,www.psychologickapomoc.eu,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Bocharnikova, Nataliya",Klecany,https://www.nudz.cz/pomahame-ukrajine/psychosocialni-podpora,Přijímám nové klienty,"On-line, Osobně, Telefonicky",,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Zdráhalová, Michaela",Vyškov,http://www.psycholog-terapeut.webnode.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Integrativní a eklektické pojetí
"Martinec, Jiří",Dolní Ředice,,Přijímám nové klienty,"On-line, Osobně",,Integrativní a eklektické pojetí
"Fuksová, Renata",Praha 1,v realizaci,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Bračková, Ljuba",Sokolov,www.terapie-brackova.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let), neuvedeno",Osobně,Integrativní a eklektické pojetí
"Chrtová, Ivana",Český Krumlov,Neuvedeno,Přijímám nové klienty,Dospělí 18-69,On-line,Kognitivně-behaviorální terapie
"Majzlík, Luboš",Frýdek-Místek,https://majzlik-poradna.webnode.cz/,Přijímám nové klienty,"On-line, Osobně",,Integrativní a eklektické pojetí
"Czuczor, Kristýna",Brno,www.detskypsychologbrno.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Klímová, Ingrid","Praha 2, Vinohrady",www.ingrid-klimova.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Vaľková, Zuzana",Brno,,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Hochel, Matej",Praha 5,https://www.psychologvprirode.cz/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně",Integrativní a eklektické pojetí
"Kušnírová, Hana",,,Info o dostupnosti na vyžádání,,,"Systémové, systemické a komunikační pojetí"
"Březovská, Eva",Olomouc,neuvedeno,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let), neuvedeno","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Pikhartová, Alena",Jindřichův Hradec,http://www.psychologiejhradec.cz/?q=node/10,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Urbánková, Iveta",Brno,https://urbankova.wixsite.com/psychoterapie,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Meme, Gabriela",Praha 1,,Přijímám nové klienty,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Kotyzová, Michaela",České Budějovice,neuvedeno,Přijímám nové klienty,"Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Veselá, Eliška",Praha 6,https://eliskavesela.cz/,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Gregorová, Markéta",Praha,www.terapiegregorova.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Balatá, Ivana",Písek,www.tpib.cz,Info o dostupnosti na vyžádání,neuvedeno,"Možnost terapie venku, Osobně",Integrativní a eklektické pojetí
"Dostálová, Veronika",Praha 6,,Info o dostupnosti na vyžádání,Osobně,,Kognitivně-behaviorální terapie
"Walsh Kováříková, Zdeňka",Praha 1,www.zdenkakovarikova.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Houšková, Tereza",Jindřichův Hradec,www.terezahouskova.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let), neuvedeno",Osobně,Psychoterapie zaměřená na tělo
"Benetová, Sabina",Svitavy,www.sabinabenetova.cz,Přijímám nové klienty,Dospělí 18-69,On-line,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Parmová, Daniela",Praha 4,www.parmova-psychoterapie.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let), neuvedeno",Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Schorschová, Kateřina",Jablonec nad Nisou,https://psychologieschorschova.com/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Novotná, Miroslava",Poprad,"https://hedepy.sk/najst-terapeuta/miroslava-novotna ,",Info o dostupnosti na vyžádání,"Dospělí 18-69, neuvedeno","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Kolářová, Renata",Praha 1,,Přijímám nové klienty,Dospělí 18-69,Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Jelenová, Kateřina",Praha 1 - Nové Město,https://www.neveshlavu.cz/,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Štěpán Černá, Petra",Útušice,neuvedeno,Info o dostupnosti na vyžádání,Dospělí 18-69,"Možnost terapie venku, On-line, Telefonicky","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Langrová, Veronika",Praha 9 - Hloubětín,neuvedeno,Info o dostupnosti na vyžádání,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Fenclová, Tereza",Praha 4,,Přijímám nové klienty,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
